update,global_step,fps,p1_reward,p2_reward,p1_val_loss,p2_val_loss,total_loss,entropy,lr
1,512,386,-0.009999999776482582,-0.009999999776482582,0.012708120048046112,0.007208993658423424,-0.03032890520989895,1.5964888334274292,0.0003
2,1024,509,-0.009999999776482582,-0.009999999776482582,0.0019551003351807594,0.002165028126910329,-0.04064401239156723,1.58475923538208,0.0003
3,1536,566,-0.009999999776482582,-0.009999999776482582,0.0032173236832022667,0.00217436789534986,-0.03534749150276184,1.5752284526824951,0.0003
4,2048,600,-0.009999999776482582,-0.009999999776482582,0.005118018016219139,0.01242127176374197,-0.04621804878115654,1.5338963270187378,0.0003
5,2560,622,-0.009999999776482582,-0.009999999776482582,0.0011859404621645808,0.0019004445057362318,-0.054877087473869324,1.5494897365570068,0.0003
6,3072,634,-0.009999999776482582,-0.009999999776482582,0.013751614838838577,0.009897212497889996,-0.05771593376994133,1.5158048868179321,0.0003
7,3584,649,-0.009999999776482582,-0.009999999776482582,0.0013383014593273401,0.007727453485131264,-0.04562942311167717,1.5518298149108887,0.0003
8,4096,661,-0.009999999776482582,-0.009999999776482582,0.0034089707769453526,0.0018592175329104066,-0.018616022542119026,1.5201237201690674,0.0003
9,4608,669,-0.009999999776482582,-0.009999999776482582,0.004681793972849846,0.005712672136723995,-0.06592114269733429,1.5002883672714233,0.0003
10,5120,677,-0.009999999776482582,-0.009999999776482582,0.004351770505309105,0.004376178607344627,-0.07379767298698425,1.475138783454895,0.0003
11,5632,682,-0.009999999776482582,-0.009999999776482582,0.0025508995167911053,0.0021942961029708385,-0.07814376056194305,1.5284135341644287,0.0003
12,6144,682,-0.009999999776482582,-0.009999999776482582,0.009218167513608932,0.02765265665948391,-0.05676911771297455,1.484665870666504,0.0003
13,6656,686,-0.009999999776482582,-0.009999999776482582,0.0062886131927371025,0.005532924085855484,-0.094120092689991,1.458085536956787,0.0003
14,7168,691,-0.009999999776482582,-0.009999999776482582,0.0018844236619770527,0.002009811345487833,-0.053674496710300446,1.4635024070739746,0.0003
15,7680,694,-0.009999999776482582,-0.009999999776482582,0.0017577360849827528,0.0019903758075088263,-0.059969235211610794,1.4899760484695435,0.0003
16,8192,693,-0.009999999776482582,-0.009999999776482582,0.0003713408368639648,0.0012683101231232285,-0.05068213492631912,1.4739964008331299,0.0003
17,8704,692,0.18531250953674316,-0.10765625536441803,42.37297058105469,10.592025756835938,18.604110717773438,1.50425124168396,0.0003
18,9216,691,0.08765625208616257,0.08765625208616257,50.35301208496094,50.31578826904297,25.167627334594727,0.815458357334137,0.0003
19,9728,693,-0.009999999776482582,-0.009999999776482582,0.0027051661163568497,0.003981127869337797,-0.08657515048980713,1.5176827907562256,0.0003
20,10240,695,-0.009999999776482582,-0.009999999776482582,0.0023064203560352325,0.00045793334720656276,-0.03775370121002197,1.472122311592102,0.0003
21,10752,698,-0.009999999776482582,-0.009999999776482582,0.0027301302179694176,0.0014868485741317272,-0.0831487700343132,1.5131175518035889,0.0003
22,11264,700,-0.009999999776482582,-0.009999999776482582,0.0075492700561881065,0.007845031097531319,-0.03278703615069389,1.489382266998291,0.0003
23,11776,701,-0.009999999776482582,-0.009999999776482582,0.006261997390538454,0.0053361207246780396,-0.0702955424785614,1.4769288301467896,0.0003
24,12288,701,-0.009999999776482582,-0.009999999776482582,0.013852793723344803,0.017744533717632294,-0.053846679627895355,1.3605866432189941,0.0003
25,12800,703,-0.009999999776482582,-0.009999999776482582,0.002176573034375906,0.0021813353523612022,-0.07242637127637863,1.4325146675109863,0.0003
26,13312,703,-0.009999999776482582,-0.009999999776482582,0.001965675037354231,0.0012531038373708725,-0.05353320762515068,1.360863208770752,0.0003
