update,global_step,fps,mean_reward,val_loss,total_loss,entropy,lr
1876,960512,884845,-0.009296869859099388,21.731046676635742,11.486791610717773,0.040289584547281265,0.0003
1877,961024,546910,-0.14015622437000275,455.394287109375,255.19647216796875,0.12433205544948578,0.0003
1878,961536,399557,-0.11476561427116394,25.3798828125,11.503936767578125,0.0,0.0003
1879,962048,312462,-0.061054665595293045,358.3982849121094,256.42681884765625,0.11655408143997192,0.0003
1880,962560,260242,-0.22023436427116394,29.179203033447266,10.763744354248047,0.0,0.0003
1881,963072,220806,-0.028828119859099388,360.8358154296875,179.97726440429688,0.014256800524890423,0.0003
1882,963584,191102,-0.14015622437000275,365.9101257324219,289.8286437988281,0.025685951113700867,0.0003
1883,964096,169457,-0.11476561427116394,11.658613204956055,6.520456314086914,2.2449964376392018e-07,0.0003
1884,964608,152238,-0.06105465814471245,305.7442626953125,122.3121566772461,0.10293012857437134,0.0003
1885,965120,138857,-0.22023436427116394,32.912384033203125,16.162357330322266,0.0,0.0003
1886,965632,127122,-0.02882811799645424,144.48324584960938,151.210205078125,0.005795246921479702,0.0003
1887,966144,116639,-0.15333980321884155,446.2440185546875,160.1844482421875,0.22482529282569885,0.0003
1888,966656,108066,-0.10060544312000275,605.6289672851562,169.46908569335938,0.2325364351272583,0.0003
1889,967168,100895,0.014140643179416656,16.122365951538086,7.896313667297363,0.15721629559993744,0.0003
1890,967680,95049,-0.11378905177116394,402.9384765625,211.77272033691406,0.1441096067428589,0.0003
1891,968192,89658,-0.11476561427116394,11.339859008789062,7.015987396240234,1.648662646402954e-07,0.0003
1892,968704,84627,-0.06105466187000275,258.58404541015625,140.3558807373047,0.13931214809417725,0.0003
1893,969216,80670,-0.22023436427116394,20.067401885986328,6.434430122375488,0.0,0.0003
1894,969728,76547,-0.02882811799645424,269.2512512207031,246.2610626220703,0.03743405640125275,0.0003
1895,970240,72901,-0.17238280177116394,424.93853759765625,380.6044006347656,0.46772509813308716,0.0003
1896,970752,69715,-0.009296871721744537,2.239989757537842,1.1050817966461182,0.11327175796031952,0.0003
1897,971264,66826,-0.15626952052116394,399.0059814453125,153.0245361328125,0.26294636726379395,0.0003
1898,971776,64016,-0.062031231820583344,56.51551818847656,22.809280395507812,0.05390651524066925,0.0003
1899,972288,61469,-0.04787105694413185,302.2190246582031,165.75009155273438,0.14793270826339722,0.0003
1900,972800,59186,-0.22023436427116394,17.838218688964844,14.975702285766602,5.536597313948732e-07,0.0003
1901,973312,57057,0.018046878278255463,197.0634307861328,150.8642578125,0.18768996000289917,0.0003
1902,973824,55012,-0.20314452052116394,275.1842041015625,69.40446472167969,0.14787256717681885,0.0003
1903,974336,53247,-0.09865231812000275,35.568603515625,15.932076454162598,0.0013315926771610975,0.0003
1904,974848,51284,-0.06398434191942215,318.02862548828125,152.29176330566406,0.14120683073997498,0.0003
1905,975360,49671,-0.16749998927116394,40.108619689941406,17.07166290283203,2.903266818066186e-07,0.0003
1906,975872,48209,-0.06398434191942215,275.87841796875,98.67034149169922,0.6459054946899414,0.0003
1907,976384,46681,-0.061054669320583344,463.44500732421875,186.88919067382812,0.3392336666584015,0.0003
1908,976896,45400,-0.062031231820583344,34.281402587890625,16.357328414916992,0.06588611751794815,0.0003
1909,977408,44056,-0.10353514552116394,300.0356750488281,302.0632019042969,0.5810223817825317,0.0003
1910,977920,42898,-0.11476561427116394,35.63078308105469,24.62602424621582,6.851090006421146e-08,0.0003
1911,978432,41724,-0.061054665595293045,358.63531494140625,106.48786926269531,0.10516469180583954,0.0003
1912,978944,40646,-0.23976559937000275,451.1990966796875,184.00106811523438,0.0366823673248291,0.0003
1913,979456,39606,0.014140643179416656,18.93335723876953,9.172428131103516,0.1647132784128189,0.0003
1914,979968,38557,-0.17677733302116394,295.4654235839844,221.65443420410156,0.4430494010448456,0.0003
1915,980480,37604,-0.09132811427116394,93.66860961914062,39.94179153442383,0.22593726217746735,0.0003
1916,980992,36693,-0.005390601232647896,503.3618469238281,346.055908203125,0.14438515901565552,0.0003
1917,981504,35761,-0.18703120946884155,427.50994873046875,174.21310424804688,0.017006710171699524,0.0003
1918,982016,34947,-0.11476561427116394,23.15631675720215,10.565143585205078,1.5141129949824972e-07,0.0003
1919,982528,34100,-0.06105466187000275,360.1329345703125,123.52508544921875,0.03797578066587448,0.0003
1920,983040,33359,-0.22023436427116394,12.669198989868164,5.660265922546387,7.436227633661474e-07,0.0003
1921,983552,32646,-0.02882811799645424,74.8675537109375,0.9686306118965149,0.04346267133951187,0.0003
1922,984064,31953,-0.14015623927116394,335.59100341796875,139.06968688964844,0.22192049026489258,0.0003
1923,984576,31350,-0.11476560682058334,28.863632202148438,11.896736145019531,6.079245054024796e-07,0.0003
1924,985088,30675,-0.07130856812000275,301.249267578125,224.37779235839844,0.16758036613464355,0.0003
1925,985600,30064,-0.21339839696884155,320.25506591796875,189.36264038085938,0.01486130803823471,0.0003
1926,986112,29493,-0.09865231812000275,22.611103057861328,14.457565307617188,1.765380147844553e-06,0.0003
