update,global_step,fps,mean_reward,value_loss,policy_loss,entropy,explained_var,learning_rate
1,256,366,-0.009999999776482582,0.026446521282196045,-0.0026478543877601624,1.7911511659622192,0.6467142,0.00025
2,512,608,-0.009999999776482582,0.017391934990882874,0.0012257173657417297,1.7909586429595947,0.6909982,0.00025
3,768,779,-0.009999999776482582,0.013931060209870338,-0.005759993568062782,1.790879487991333,0.6530411,0.00025
4,1024,906,-0.009999999776482582,0.011404868215322495,-0.006740804761648178,1.789989948272705,0.58926785,0.00025
5,1280,1005,-0.009999999776482582,0.012844238430261612,-0.0016081631183624268,1.7895212173461914,0.4976694,0.00025
6,1536,1084,-0.009999999776482582,0.009331263601779938,-0.0029305964708328247,1.7887370586395264,0.42620093,0.00025
7,1792,1148,-0.009999999776482582,0.006145042832940817,-0.0018711388111114502,1.7878246307373047,0.32138622,0.00025
8,2048,1202,-0.009999999776482582,0.002994803711771965,-0.010411141440272331,1.7852075099945068,0.20536041,0.00025
9,2304,1247,-0.009999999776482582,0.0009495444828644395,-0.0012684091925621033,1.7824609279632568,0.20221722,0.00025
10,2560,1286,-0.009999999776482582,0.0011006490094587207,-0.0025335848331451416,1.7793686389923096,0.23474377,0.00025
11,2816,1319,-0.009999999776482582,0.0008345730020664632,-0.0057954341173172,1.775404453277588,0.38406014,0.00025
12,3072,1348,-0.009999999776482582,0.0004706854233518243,-0.010903067886829376,1.7686116695404053,-1.0373356,0.00025
13,3328,1373,-0.009999999776482582,0.001464855158701539,0.004931416362524033,1.7579259872436523,0.74654627,0.00025
14,3584,1394,-0.009999999776482582,0.0017692205728963017,-0.0008414499461650848,1.7561888694763184,-0.063431025,0.00025
15,3840,1415,-0.009999999776482582,0.0010843860218301415,0.0002582818269729614,1.7534970045089722,0.36864161,0.00025
16,4096,1434,-0.009999999776482582,0.0009256812045350671,-0.000680113211274147,1.7511978149414062,-0.036092162,0.00025
17,4352,1451,-0.009999999776482582,0.000595675315707922,-0.003466349095106125,1.7578184604644775,0.52058077,0.00025
18,4608,1466,-0.009999999776482582,0.0003654580796137452,-0.002001088112592697,1.7643146514892578,0.741902,0.00025
19,4864,1478,-0.009999999776482582,0.0004194914363324642,-0.009014178067445755,1.7637555599212646,0.71327144,0.00025
20,5120,1490,-0.009999999776482582,0.00034756044624373317,0.0006062015891075134,1.7625057697296143,0.59278995,0.00025
21,5376,1503,-0.009999999776482582,0.0003277658252045512,-0.019009917974472046,1.7635644674301147,0.3392927,0.00025
22,5632,1513,-0.009999999776482582,0.0003632662119343877,-4.791468381881714e-05,1.7660291194915771,0.47680676,0.00025
23,5888,1523,-0.009999999776482582,0.0002733200090005994,-0.01302763819694519,1.7571237087249756,0.2205553,0.00025
24,6144,1533,-0.009999999776482582,0.0002206557255703956,-0.01257403939962387,1.7298661470413208,-1.4862015,0.00025
25,6400,1542,-0.009999999776482582,0.0001647711033001542,-0.005209401249885559,1.7337050437927246,-0.008736372,0.00025
26,6656,1550,-0.009999999776482582,5.752723882324062e-05,-0.004048138856887817,1.7488033771514893,-0.48922336,0.00025
27,6912,1557,-0.009999999776482582,1.3542049600800965e-05,-0.01056244969367981,1.7457455396652222,0.6579421,0.00025
28,7168,1564,-0.009999999776482582,1.559972770337481e-05,-0.027036352083086967,1.7240900993347168,-0.29636157,0.00025
29,7424,1571,-0.009999999776482582,1.7737384041538462e-05,-0.010141320526599884,1.6988686323165894,0.78232497,0.00025
30,7680,1577,-0.009999999776482582,4.472947330214083e-05,-0.0003302469849586487,1.6791679859161377,0.643782,0.00025
31,7936,1583,-0.009999999776482582,9.347538252768572e-06,-0.0029999613761901855,1.6529474258422852,0.8012915,0.00025
32,8192,1589,-0.009999999776482582,1.5315559721784666e-05,-0.008545706048607826,1.6109369993209839,0.87815183,0.00025
33,8448,1594,-0.009999999776482582,8.691845141584054e-05,-0.002785980701446533,1.5968284606933594,-0.10295105,0.00025
34,8704,1600,-0.009999999776482582,4.730379077955149e-05,-0.004436135292053223,1.58465576171875,0.09428793,0.00025
35,8960,1605,-0.009999999776482582,1.3997854694025591e-05,-0.02088456228375435,1.5344626903533936,0.5970261,0.00025
36,9216,1609,-0.009999999776482582,4.099510260857642e-05,-0.0029971785843372345,1.519403100013733,-1.1271315,0.00025
37,9472,1614,-0.009999999776482582,1.6517422409378923e-05,-0.010942801833152771,1.5395457744598389,-0.19668138,0.00025
38,9728,1617,-0.009999999776482582,4.354993166089116e-07,-0.008476203307509422,1.5061063766479492,0.9617948,0.00025
39,9984,1621,-0.009999999776482582,0.00013575446791946888,-0.009587034583091736,1.519517421722412,-0.1525811,0.00025
40,10240,1625,-0.009999999776482582,4.68064499727916e-05,-0.0019908398389816284,1.5094025135040283,0.9338781,0.00025
41,10496,1628,-0.009999999776482582,0.00011390037252567708,-0.003723837435245514,1.5431485176086426,0.7448362,0.00025
42,10752,1632,-0.009999999776482582,0.00044021982466802,-0.013071395456790924,1.597304344177246,-0.8076186,0.00025
43,11008,1635,-0.009999999776482582,3.595256566768512e-05,-0.019301101565361023,1.616613507270813,0.121824086,0.00025
44,11264,1638,-0.009999999776482582,0.00011915614595636725,-0.009051971137523651,1.6104439496994019,0.79872406,0.00025
45,11520,1641,-0.009999999776482582,0.0003136786399409175,0.007136732339859009,1.611327052116394,0.45639765,0.00025
46,11776,1643,-0.009999999776482582,0.0007306292536668479,-0.031855687499046326,1.678041696548462,0.8661502,0.00025
47,12032,1646,-0.009999999776482582,0.00015047600027173758,-0.04706423357129097,1.6367912292480469,0.95306164,0.00025
48,12288,1648,-0.009999999776482582,0.00035871972795575857,-0.006559750065207481,1.6410681009292603,-6.6655464,0.00025
49,12544,1650,-0.009999999776482582,0.0002926430315710604,-0.030790358781814575,1.6584385633468628,-0.25169265,0.00025
50,12800,1652,-0.009999999776482582,0.0014689771924167871,-0.008272685110569,1.6948896646499634,-1.724601,0.00025
51,13056,1654,-0.009999999776482582,0.0003119216999039054,-0.024812325835227966,1.6926445960998535,-5.770318,0.00025
52,13312,1656,-0.009999999776482582,0.0008885183488018811,-0.02849334105849266,1.742781639099121,-1.4886291,0.00025
53,13568,1658,-0.009999999776482582,0.00039841869147494435,-0.010515958070755005,1.740236759185791,-4.105924,0.00025
54,13824,1660,-0.009999999776482582,0.00012937701831106097,-0.008356856182217598,1.731795072555542,-3.92354,0.00025
55,14080,1661,-0.009999999776482582,0.00033881841227412224,-0.018898285925388336,1.7336684465408325,-6.0285454,0.00025
56,14336,1663,-0.009999999776482582,0.0003539090103004128,-0.0016551092267036438,1.7457911968231201,-5.6107144,0.00025
57,14592,1665,-0.009999999776482582,0.0001323878241237253,-0.0005865246057510376,1.7634518146514893,-4.379826,0.00025
58,14848,1667,-0.009999999776482582,0.00017937329539563507,-0.01828637719154358,1.759209394454956,0.64915466,0.00025
59,15104,1669,-0.009999999776482582,0.0001434810401406139,-0.008732862770557404,1.765836477279663,-1.3130302,0.00025
60,15360,1671,-0.009999999776482582,6.558518361998722e-05,-0.01785862445831299,1.772071361541748,-2.2246516,0.00025
61,15616,1672,-0.009999999776482582,0.00020333685097284615,-0.023225203156471252,1.7492948770523071,-0.0399189,0.00025
62,15872,1674,-0.009999999776482582,7.474396625184454e-06,-0.027064278721809387,1.7088512182235718,-0.028250098,0.00025
63,16128,1675,-0.009999999776482582,0.00016537813644390553,-0.014724060893058777,1.656449794769287,0.7141777,0.00025
64,16384,1677,-0.009999999776482582,0.00016072177095338702,-0.04125961661338806,1.679198980331421,0.75024027,0.00025
65,16640,1678,-0.009999999776482582,6.183454388519749e-05,-0.05900672450661659,1.70176362991333,0.69285,0.00025
66,16896,1679,-0.009999999776482582,0.00014624311006627977,-0.006066039204597473,1.7067041397094727,0.0961985,0.00025
67,17152,1681,-0.009999999776482582,7.993442704901099e-05,-0.015028499066829681,1.7276018857955933,0.49139106,0.00025
68,17408,1682,-0.009999999776482582,9.947901708073914e-05,-0.014016561210155487,1.7332878112792969,0.8392821,0.00025
69,17664,1683,-0.009999999776482582,2.6078399969264865e-05,-0.01924435794353485,1.7246325016021729,0.9439961,0.00025
70,17920,1685,-0.009999999776482582,9.365240839542821e-05,-0.01561584323644638,1.7072579860687256,0.9579192,0.00025
71,18176,1687,-0.009999999776482582,6.449951797549147e-06,-0.022454574704170227,1.687981128692627,0.7217457,0.00025
72,18432,1689,-0.009999999776482582,0.00017590532661415637,-0.020100869238376617,1.6848551034927368,0.17544127,0.00025
73,18688,1691,-0.009999999776482582,0.0004965252592228353,0.0023824982345104218,1.705941081047058,-1.7260151,0.00025
74,18944,1692,-0.009999999776482582,6.176733586471528e-05,0.0027987174689769745,1.699634075164795,-3.063159,0.00025
75,19200,1694,-0.009999999776482582,4.394400093588047e-05,-0.023538125678896904,1.7146856784820557,0.6263015,0.00025
76,19456,1695,-0.009999999776482582,6.745042628608644e-05,-0.017409443855285645,1.7106631994247437,0.93568933,0.00025
77,19712,1697,-0.009999999776482582,3.8414582377299666e-05,-0.019231319427490234,1.7022616863250732,0.6027018,0.00025
78,19968,1698,-0.009999999776482582,1.1354984053468797e-05,-0.00648106075823307,1.700547218322754,-0.079337955,0.00025
79,20224,1700,-0.009999999776482582,3.1254290661308914e-05,-0.018574099987745285,1.6936537027359009,0.63978827,0.00025
80,20480,1702,-0.009999999776482582,1.3296323231770657e-05,-0.027911201119422913,1.6810176372528076,-1.0494194,0.00025
81,20736,1703,-0.009999999776482582,0.00032504842965863645,-0.015591615810990334,1.651294231414795,0.51739764,0.00025
82,20992,1705,-0.009999999776482582,1.4154889868223108e-05,-0.020678751170635223,1.618401288986206,0.41805243,0.00025
83,21248,1702,0.18531247973442078,921.95361328125,-0.00429891049861908,1.602251648902893,0.00010830164,0.00025
84,21504,1703,-0.009999999776482582,0.0004497210611589253,-0.00870710052549839,1.5928961038589478,0.9683465,0.00025
85,21760,1705,-0.009999999776482582,5.576352123171091e-05,-0.010386794805526733,1.589636206626892,0.9714084,0.00025
