update,global_step,fps,mean_reward,val_loss,total_loss,entropy,lr
1,512,544,-0.009999999776482582,0.01974799856543541,-0.04485149681568146,1.5971059799194336,0.0003
2,1024,738,-0.009999999776482582,0.009830208495259285,-0.048766106367111206,1.5733562707901,0.0003
3,1536,842,-0.009999999776482582,0.010822264477610588,-0.06599924713373184,1.5726983547210693,0.0003
4,2048,906,0.04859374836087227,19.30154037475586,16.578317642211914,1.040110468864441,0.0003
5,2560,939,0.10718749463558197,33.934207916259766,27.725893020629883,0.7050535082817078,0.0003
6,3072,949,0.02906249836087227,152.5426025390625,65.35391998291016,1.5891180038452148,0.0003
7,3584,973,-0.009999999776482582,0.0051611620001494884,-0.04693182557821274,1.5592172145843506,0.0003
8,4096,993,-0.009999999776482582,0.004888053983449936,-0.05947061628103256,1.5458663702011108,0.0003
9,4608,1011,-0.009999999776482582,0.006765002850443125,-0.05932920053601265,1.4763197898864746,0.0003
10,5120,1026,-0.009999999776482582,0.0022468650713562965,-0.08743546903133392,1.4968318939208984,0.0003
11,5632,1037,-0.009999999776482582,0.0009033029200509191,-0.044308386743068695,1.4867181777954102,0.0003
12,6144,1046,-0.009999999776482582,0.0012142285704612732,-0.04245418310165405,1.4995067119598389,0.0003
13,6656,1055,-0.009999999776482582,0.0030763670802116394,-0.08078069239854813,1.5333447456359863,0.0003
14,7168,1064,-0.009999999776482582,0.0012902102898806334,-0.04553680121898651,1.5428812503814697,0.0003
15,7680,1071,-0.009999999776482582,0.000690518703777343,-0.0007702772272750735,1.4818837642669678,0.0003
16,8192,1078,-0.009999999776482582,0.00027530346415005624,-0.05506961792707443,1.520075798034668,0.0003
17,8704,1084,-0.009999999776482582,0.0007918644696474075,0.017617015168070793,1.5296075344085693,0.0003
18,9216,1089,-0.009999999776482582,0.0003599186893552542,-0.09130191802978516,1.5525561571121216,0.0003
19,9728,1094,-0.009999999776482582,0.00022690201876685023,-0.09411565959453583,1.5090397596359253,0.0003
20,10240,1098,-0.009999999776482582,0.0012387883616611362,-0.07588512450456619,1.5223716497421265,0.0003
21,10752,1099,-0.009999999776482582,0.020080268383026123,-0.035486169159412384,1.4667210578918457,0.0003
22,11264,1103,-0.009999999776482582,0.0021706067491322756,-0.03800821676850319,1.499819040298462,0.0003
23,11776,1105,-0.009999999776482582,0.0024733575992286205,-0.05312999710440636,1.417743444442749,0.0003
24,12288,1108,-0.009999999776482582,0.0070225875824689865,-0.05305243283510208,1.4210211038589478,0.0003
25,12800,1111,-0.009999999776482582,0.0014625305775552988,-0.06281176954507828,1.493066668510437,0.0003
26,13312,1114,-0.009999999776482582,0.002118639647960663,-0.03342927247285843,1.4081116914749146,0.0003
27,13824,1119,-0.009999999776482582,0.0012671529548242688,-0.05198213830590248,1.3659558296203613,0.0003
28,14336,1123,-0.009999999776482582,0.002413916401565075,-0.06785513460636139,1.5132653713226318,0.0003
